Code,Volume,Percent,Openings
00-0000,15628.00,10.8,50557.30
11-0000,636.60,7.2,2586.70
11-1000,265.20,11.2,717.40
11-1011,17.40,5.3,87.80
11-1021,244.10,12.4,613.10
11-1031,3.70,6.4,16.50
11-2000,63.10,9.9,203.30
11-2011,2.40,6.9,13.40
11-2020,52.70,9.8,168.60
11-2021,22.90,12.7,61.70
11-2022,29.80,8.3,106.90
11-2031,8.00,12.9,21.30
11-3000,152.10,9.2,459.10
11-3011,34.20,12.2,79.90
11-3021,50.90,15.3,97.10
11-3031,47.10,8.9,146.90
11-3051,-4.10,-2.4,31.40
11-3061,1.50,2.1,17.30
11-3071,5.10,4.9,29.10
11-3111,0.60,3.1,6.10
11-3121,13.60,13.2,40.60
11-3131,3.20,11.2,10.70
11-9000,156.10,3.7,1207.00
11-9013,-179.90,-19.3,150.20
11-9021,78.20,16.1,154.60
11-9030,50.60,10.3,181.30
11-9031,10.90,17.0,27.80
11-9032,13.10,5.7,74.70
11-9033,23.50,14.5,66.50
11-9039,3.10,9.0,12.20
11-9041,13.10,6.7,60.60
11-9051,5.00,1.6,62.40
11-9061,1.20,12.5,3.20
11-9071,0.40,7.5,1.40
11-9081,0.70,1.4,16.20
11-9111,73.30,23.2,149.90
11-9121,2.90,5.7,13.70
11-9131,-5.60,-24.2,5.00
11-9141,35.00,11.8,102.10
11-9151,27.70,20.8,55.10
11-9161,0.80,8.3,2.20
11-9199,52.60,5.9,249.10
13-0000,898.10,12.5,2351.50
13-1000,576.90,13.0,1344.10
13-1011,1.80,9.7,5.80
13-1020,18.10,4.2,105.00
13-1021,0.80,5.9,3.50
13-1022,8.90,7.1,39.90
13-1023,8.40,2.9,61.60
13-1030,10.80,3.5,83.40
13-1031,11.50,3.9,80.30
13-1032,-0.70,-5.3,3.10
13-1041,11.00,4.6,55.30
13-1051,53.00,26.2,118.00
13-1070,32.50,6.6,123.70
13-1071,33.20,7.9,109.50
13-1075,-0.60,-0.8,14.20
13-1081,27.60,21.9,42.20
13-1111,133.80,18.6,245.20
13-1121,31.30,33.2,44.20
13-1131,11.40,17.3,24.30
13-1141,5.30,5.8,22.00
13-1151,35.40,15.5,77.20
13-1161,131.50,31.6,188.50
13-1199,73.40,7.4,209.40
13-2000,321.20,11.7,1007.40
13-2011,166.70,13.1,544.20
13-2021,4.70,5.6,12.10
13-2031,3.80,6.1,28.50
13-2041,6.40,10.4,21.80
13-2050,93.20,16.0,226.20
13-2051,39.30,15.5,100.90
13-2052,60.30,27.0,96.40
13-2053,-6.50,-6.1,28.90
13-2061,1.80,6.3,9.20
13-2070,29.20,8.9,89.20
13-2071,6.40,20.7,12.00
13-2072,22.90,7.7,77.20
13-2080,6.00,3.8,50.40
13-2081,-2.70,-3.9,23.90
13-2082,8.70,9.9,26.50
13-2099,9.40,6.1,25.80
15-0000,685.80,18.0,1308.50
15-1100,651.30,17.7,1240.10
15-1111,4.10,15.3,8.30
15-1120,155.20,26.1,248.80
