OCC_TITLE,OCC_GROUP,TOT_EMP,A_MEAN,A_MEDIAN
All Occupations,total,"132,588,810","46,440","35,080"
Management Occupations,major,"6,542,950","110,550","95,600"
Top Executives,minor,"2,278,260","121,010","100,310"
Chief Executives,broad,"248,760","178,400","171,610"
Chief Executives,detailed,"248,760","178,400","171,610"
General and Operations Managers,broad,"1,973,700","116,090","96,430"
General and Operations Managers,detailed,"1,973,700","116,090","96,430"
Legislators,broad,"55,800","39,320","20,620"
Legislators,detailed,"55,800","39,320","20,620"
"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,"608,470","124,640","111,390"
Advertising and Promotions Managers,broad,"28,530","112,870","93,880"
Advertising and Promotions Managers,detailed,"28,530","112,870","93,880"
Marketing and Sales Managers,broad,"526,220","126,640","113,590"
Marketing Managers,detailed,"174,010","133,700","123,220"
Sales Managers,detailed,"352,220","123,150","108,540"
Public Relations and Fundraising Managers,broad,"53,730","111,260","98,700"
Public Relations and Fundraising Managers,detailed,"53,730","111,260","98,700"
Operations Specialties Managers,minor,"1,582,020","114,160","103,170"
Administrative Services Managers,broad,"269,500","90,190","82,310"
Administrative Services Managers,detailed,"269,500","90,190","82,310"
Computer and Information Systems Managers,broad,"319,080","132,570","123,950"
Computer and Information Systems Managers,detailed,"319,080","132,570","123,950"
Financial Managers,broad,"499,320","126,660","112,700"
Financial Managers,detailed,"499,320","126,660","112,700"
Industrial Production Managers,broad,"165,340","99,370","90,790"
Industrial Production Managers,detailed,"165,340","99,370","90,790"
Purchasing Managers,broad,"69,620","109,640","103,780"
Purchasing Managers,detailed,"69,620","109,640","103,780"
"Transportation, Storage, and Distribution Managers",broad,"102,610","91,220","83,890"
"Transportation, Storage, and Distribution Managers",detailed,"102,610","91,220","83,890"
Compensation and Benefits Managers,broad,"17,570","112,040","101,490"
Compensation and Benefits Managers,detailed,"17,570","112,040","101,490"
Human Resources Managers,broad,"110,650","111,180","100,800"
Human Resources Managers,detailed,"110,650","111,180","100,800"
Training and Development Managers,broad,"28,340","107,770","98,810"
Training and Development Managers,detailed,"28,340","107,770","98,810"
Other Management Occupations,minor,"2,074,200","92,180","83,630"
"Farmers, Ranchers, and Other Agricultural Managers",broad,"3,770","73,210","70,110"
"Farmers, Ranchers, and Other Agricultural Managers",detailed,"3,770","73,210","70,110"
Construction Managers,broad,"213,720","92,700","84,410"
Construction Managers,detailed,"213,720","92,700","84,410"
Education Administrators,broad,"431,540","88,780","83,850"
"Education Administrators, Preschool and Childcare Center/Program",detailed,"47,560","52,010","44,890"
"Education Administrators, Elementary and Secondary School",detailed,"226,760","90,670","88,380"
"Education Administrators, Postsecondary",detailed,"126,340","100,600","87,410"
"Education Administrators, All Other",detailed,"30,880","83,170","77,380"
Architectural and Engineering Managers,broad,"183,430","136,540","128,170"
Architectural and Engineering Managers,detailed,"183,430","136,540","128,170"
Food Service Managers,broad,"191,030","53,130","48,080"
Food Service Managers,detailed,"191,030","53,130","48,080"
Funeral Service Managers,broad,"8,810","80,250","68,420"
Funeral Service Managers,detailed,"8,810","80,250","68,420"
Gaming Managers,broad,"4,460","73,760","66,200"
Gaming Managers,detailed,"4,460","73,760","66,200"
Lodging Managers,broad,"30,950","55,810","46,830"
Lodging Managers,detailed,"30,950","55,810","46,830"
Medical and Health Services Managers,broad,"300,180","101,340","90,940"
Medical and Health Services Managers,detailed,"300,180","101,340","90,940"
Natural Sciences Managers,broad,"51,900","132,850","116,840"
Natural Sciences Managers,detailed,"51,900","132,850","116,840"
Postmasters and Mail Superintendents,broad,"17,930","66,340","65,150"
Postmasters and Mail Superintendents,detailed,"17,930","66,340","65,150"
"Property, Real Estate, and Community Association Managers",broad,"165,960","64,270","53,200"
"Property, Real Estate, and Community Association Managers",detailed,"165,960","64,270","53,200"
Social and Community Service Managers,broad,"115,330","65,750","61,160"
Social and Community Service Managers,detailed,"115,330","65,750","61,160"
Emergency Management Directors,broad,"9,800","67,150","62,780"
Emergency Management Directors,detailed,"9,800","67,150","62,780"
Miscellaneous Managers,broad,"345,390","108,380","103,530"
"Managers, All Other",detailed,"345,390","108,380","103,530"
Business and Financial Operations Occupations,major,"6,658,090","71,020","63,800"
Business Operations Specialists,minor,"4,137,510","69,030","63,140"
"Agents and Business Managers of Artists, Performers, and Athletes",broad,"11,680","96,410","64,490"
"Agents and Business Managers of Artists, Performers, and Athletes",detailed,"11,680","96,410","64,490"
Buyers and Purchasing Agents,broad,"408,060","61,900","57,640"
"Buyers and Purchasing Agents, Farm Products",detailed,"11,290","60,470","55,450"
"Wholesale and Retail Buyers, Except Farm Products",detailed,"112,290","58,210","52,370"
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"284,480","63,420","59,780"
"Claims Adjusters, Appraisers, Examiners, and Investigators",broad,"288,680","62,370","61,220"
"Claims Adjusters, Examiners, and Investigators",detailed,"275,500","62,340","61,190"
"Insurance Appraisers, Auto Damage",detailed,"13,180","63,100","61,660"
Compliance Officers,broad,"236,090","66,770","64,340"
Compliance Officers,detailed,"236,090","66,770","64,340"
Cost Estimators,broad,"202,600","63,660","59,460"
Cost Estimators,detailed,"202,600","63,660","59,460"
Human Resources Workers,broad,"503,940","60,760","56,350"
Human Resources Specialists,detailed,"426,570","61,560","56,630"
Farm Labor Contractors,detailed,"1,210","42,920","35,430"
Labor Relations Specialists,detailed,"76,160","56,590","54,630"
Logisticians,broad,"120,340","76,330","73,400"
Logisticians,detailed,"120,340","76,330","73,400"
Management Analysts,broad,"567,840","89,990","79,870"
Management Analysts,detailed,"567,840","89,990","79,870"
"Meeting, Convention, and Event Planners",broad,"73,290","50,190","46,260"
"Meeting, Convention, and Event Planners",detailed,"73,290","50,190","46,260"
Fundraisers,broad,"50,530","56,270","51,580"
Fundraisers,detailed,"50,530","56,270","51,580"
"Compensation, Benefits, and Job Analysis Specialists",broad,"81,520","63,310","59,820"
"Compensation, Benefits, and Job Analysis Specialists",detailed,"81,520","63,310","59,820"
Training and Development Specialists,broad,"224,110","60,780","56,850"
Training and Development Specialists,detailed,"224,110","60,780","56,850"
Market Research Analysts and Marketing Specialists,broad,"430,350","67,780","60,800"
Market Research Analysts and Marketing Specialists,detailed,"430,350","67,780","60,800"
Miscellaneous Business Operations Specialists,broad,"938,480","71,590","66,090"
"Business Operations Specialists, All Other",detailed,"938,480","71,590","66,090"
Financial Specialists,minor,"2,520,580","74,270","64,900"
Accountants and Auditors,broad,"1,168,330","72,500","65,080"
Accountants and Auditors,detailed,"1,168,330","72,500","65,080"
Appraisers and Assessors of Real Estate,broad,"60,210","57,040","51,030"
Appraisers and Assessors of Real Estate,detailed,"60,210","57,040","51,030"
Budget Analysts,broad,"58,740","72,560","70,110"
Budget Analysts,detailed,"58,740","72,560","70,110"
Credit Analysts,broad,"66,490","72,590","64,030"
Credit Analysts,detailed,"66,490","72,590","64,030"
Financial Analysts and Advisors,broad,"526,630","90,730","74,590"
Financial Analysts,detailed,"250,670","91,620","78,380"
Personal Financial Advisors,detailed,"183,420","99,920","75,320"
Insurance Underwriters,detailed,"92,540","70,110","63,780"
Financial Examiners,broad,"30,680","86,980","76,890"
Financial Examiners,detailed,"30,680","86,980","76,890"
Credit Counselors and Loan Officers,broad,"329,570","69,540","59,090"
Credit Counselors,detailed,"27,710","44,960","40,280"
Loan Officers,detailed,"301,860","71,800","61,420"
"Tax Examiners, Collectors and Preparers, and Revenue Agents",broad,"132,600","49,590","44,210"
"Tax Examiners and Collectors, and Revenue Agents",detailed,"64,790","56,120","50,610"
Tax Preparers,detailed,"67,810","43,350","35,310"
Miscellaneous Financial Specialists,broad,"147,330","68,130","62,510"
"Financial Specialists, All Other",detailed,"147,330","68,130","62,510"
Computer and Mathematical Occupations,major,"3,696,180","82,010","77,860"
Computer Occupations,minor,"3,573,120","81,860","77,840"
Computer and Information Research Scientists,broad,"24,380","109,260","106,290"
Computer and Information Research Scientists,detailed,"24,380","109,260","106,290"
Computer and Information Analysts,broad,"585,120","86,100","82,080"
Computer Systems Analysts,detailed,"507,100","85,320","81,190"
Information Security Analysts,detailed,"78,020","91,210","88,590"
Software Developers and Programmers,broad,"1,442,500","92,820","89,180"
Computer Programmers,detailed,"312,340","80,930","76,140"
"Software Developers, Applications",detailed,"643,830","96,260","92,660"
"Software Developers, Systems Software",detailed,"373,510","104,480","101,410"
Web Developers,detailed,"112,820","67,540","63,160"
Database and Systems Administrators and Network Architects,broad,"618,480","82,960","78,890"
Database Administrators,detailed,"114,910","80,740","78,520"
