occ_code,sal2004
00-0000,         28770
11-0000,         74390
11-1011,        140350
11-1021,         77420
11-1031,         16190
11-2011,         63610
11-2021,         87640
11-2022,         84220
11-2031,         70000
11-3011,         60290
11-3021,         92570
11-3031,         81880
11-3041,         66530
11-3042,         67460
11-3049,         81810
11-3051,         73000
11-3061,         72450
11-3071,         66600
11-9011,         50700
11-9012,         40440
11-9021,         69870
11-9031,         35730
11-9032,         74190
11-9033,         68340
11-9039,         60250
11-9041,         97630
11-9051,         39610
11-9061,         45960
11-9071,         58580
11-9081,         37660
11-9111,         67430
11-9121,         88660
11-9131,         50580
11-9141,         39980
11-9151,         46810
11-9199,         77350
13-0000,         50350
13-1011,         55080
13-1021,         43720
13-1022,         42230
13-1023,         47680
13-1031,         44220
13-1032,         45330
13-1041,         47390
13-1051,         49940
13-1061,         45390
13-1071,         41190
13-1072,         47490
13-1073,         44570
13-1079,         47530
13-1081,         57110
13-1111,         63450
13-1121,         39620
13-1199,         53460
13-2011,         50770
13-2021,         43390
13-2031,         56040
13-2041,         47260
13-2051,         61910
13-2052,         62700
13-2053,         48550
13-2061,         60310
13-2071,         33970
13-2072,         48830
13-2081,         43490
13-2082,         27730
13-2099,         49540
15-0000,         62620
15-1011,         85190
15-1021,         62890
15-1031,         74980
15-1032,         79740
15-1041,         40430
15-1051,         66460
15-1061,         60650
15-1071,         58190
15-1081,         60600
15-1099,         59480
15-2011,         76340
15-2021,         81240
15-2031,         60190
15-2041,         58620
15-2091,         38460
15-2099,         62360
17-0000,         58120
17-1011,         60300
17-1012,         53120
17-1021,         46080
17-1022,         42980
17-2011,         79100
17-2021,         56520
17-2031,         67690
17-2041,         76770
17-2051,         64230
17-2061,         81150
17-2071,         71610
17-2072,         75770
17-2081,         66480
17-2111,         63730
17-2112,         65020
17-2121,         72040
17-2131,         67110
17-2141,         66320
17-2151,         64690
17-2161,         84880
17-2171,         88500
17-2199,         74430
17-3011,         39190
17-3012,         43180
17-3013,         43000
17-3019,         41860
17-3021,         52500
17-3022,         38480
17-3023,         46310
17-3024,         41440
17-3025,         38550
17-3026,         43590
17-3027,         43400
17-3029,         49440
17-3031,         30380
19-0000,         49670
19-1011,         49920
19-1012,         50840
19-1013,         51200
19-1021,         68950
19-1022,         54840
19-1023,         50330
19-1029,         56270
19-1031,         52480
19-1032,         48230
19-1041,         54800
19-1042,         61320
19-1099,         55430
19-2011,         97320
19-2012,         87450
19-2021,         70100
19-2031,         56060
19-2032,         72390
19-2041,         51080
19-2042,         68730
19-2043,         61510
19-2099,         80150
19-3011,         72780
19-3021,         56140
19-3022,         26490
19-3031,         54950
19-3032,         71400
19-3039,         71910
19-3041,         57870
19-3051,         53450
19-3091,         43890
19-3092,         58970
19-3093,         44490
19-3094,         86750
19-3099,         58490
19-4011,         29730
19-4021,         33210
19-4031,         38170
19-4041,         40260
19-4051,         59200
19-4061,         34360
19-4091,         35340
19-4092,         44010
19-4093,         27330
19-4099,         37840
21-0000,         33460
21-1011,         32130
21-1012,         45570
21-1013,         38980
21-1014,         32960
21-1015,         27870
21-1019,         34990
21-1021,         34820
21-1022,         40080
21-1023,         33920
21-1029,         39440
21-1091,         38480
21-1092,         39600
21-1093,         24270
21-1099,         32530
21-2011,         36690
21-2021,         30700
21-2099,         18740
23-0000,         60820
23-1011,         94930
23-1021,         68930
23-1022,         54760
23-1023,         93070
23-2011,         39130
23-2091,         42920
23-2092,         33990
23-2093,         34880
23-2099,         42150
25-0000,         38620
25-1011,         57210
25-1021,         52630
25-1022,         52450
25-1031,         59990
25-1032,         72140
25-1041,         65190
25-1042,         61940
25-1043,         65530
25-1051,         65350
25-1052,         56660
25-1053,         62330
25-1054,         64510
25-1061,         60860
25-1062,         56200
25-1063,         67520
25-1064,         57510
25-1065,         58980
25-1066,         55600
25-1067,         54860
25-1069,         61230
25-1071,         64630
25-1072,         52060
25-1081,         49530
25-1082,         51600
25-1111,         47800
25-1112,         87290
25-1113,         51960
25-1121,         48780
25-1122,         49800
25-1123,         47900
25-1124,         47600
25-1125,         54040
25-1126,         51800
25-1191,         26120
25-1192,         47280
25-1193,         44320
25-1194,         40740
25-1199,         58090
25-2011,         20980
25-2012,         41400
25-2021,         43160
25-2022,         43670
25-2023,         43990
25-2031,         45650
25-2032,         45920
25-2041,         43570
25-2042,         44160
25-2043,         45700
25-3011,         38980
