OCC_CODE,sal2012
00-0000,34750
11-0000,93910
11-1000,99550
11-1010,168140
11-1011,168140
11-1020,95440
11-1021,95440
11-1030,19780
11-1031,19780
11-2000,107950
11-2010,88590
11-2011,88590
11-2020,110340
11-2021,119480
11-2022,105260
11-2030,95450
11-2031,95450
11-3000,100720
11-3010,81080
11-3011,81080
11-3020,120950
11-3021,120950
11-3030,109740
11-3031,109740
11-3050,89190
11-3051,89190
11-3060,100170
11-3061,100170
11-3070,81830
11-3071,81830
11-3110,95250
11-3111,95250
11-3120,99720
11-3121,99720
11-3130,95400
11-3131,95400
11-9000,81940
11-9010,69300
11-9013,69300
11-9020,82790
11-9021,82790
11-9030,82930
11-9031,43950
11-9032,87760
11-9033,86490
11-9039,76860
11-9040,124870
11-9041,124870
11-9050,47960
11-9051,47960
11-9060,66720
11-9061,66720
11-9070,65220
11-9071,65220
11-9080,46810
11-9081,46810
11-9110,88580
11-9111,88580
11-9120,115730
11-9121,115730
11-9130,63050
11-9131,63050
11-9140,52610
11-9141,52610
11-9150,59970
11-9151,59970
11-9160,59770
11-9161,59770
11-9190,100890
11-9199,100890
13-0000,62500
13-1000,62230
13-1010,63370
13-1011,63370
13-1020,56880
13-1021,55720
13-1022,51470
13-1023,58760
13-1030,59850
13-1031,59960
13-1032,58610
13-1040,62020
13-1041,62020
13-1050,58860
13-1051,58860
13-1070,55600
13-1071,55800
13-1074,30660
13-1075,54660
13-1080,72780
13-1081,72780
13-1110,78600
13-1111,78600
13-1120,45810
13-1121,45810
13-1130,50680
13-1131,50680
13-1140,59090
13-1141,59090
13-1150,55930
13-1151,55930
13-1160,60300
13-1161,60300
13-1190,65120
13-1199,65120
13-2000,63070
13-2010,63550
13-2011,63550
13-2020,49540
13-2021,49540
13-2030,69280
13-2031,69280
13-2040,61080
13-2041,61080
13-2050,71770
13-2051,76950
13-2052,67520
13-2053,62870
13-2060,75800
13-2061,75800
13-2070,57500
13-2071,39420
13-2072,59820
13-2080,43970
13-2081,50440
13-2082,33730
13-2090,61160
13-2099,61160
15-0000,76270
15-1100,76270
15-1110,102190
15-1111,102190
15-1120,80460
15-1121,79680
15-1122,86170
15-1130,87100
15-1131,74280
15-1132,90060
15-1133,99000
15-1134,62500
15-1140,76880
15-1141,77080
15-1142,72560
15-1143,91000
15-1150,48900
15-1151,46420
15-1152,59090
15-1190,81140
15-1199,81140
15-2000,76270
15-2010,93680
15-2011,93680
15-2020,101360
15-2021,101360
15-2030,72100
15-2031,72100
15-2040,75560
15-2041,75560
15-2090,56410
15-2091,56820
15-2099,56120
17-0000,73540
17-1000,66380
17-1010,71700
17-1011,73090
17-1012,64180
17-1020,56530
17-1021,57440
17-1022,56230
17-2000,86200
17-2010,103720
17-2011,103720
17-2020,74000
17-2021,74000
17-2030,86960
17-2031,86960
17-2040,94350
17-2041,94350
17-2050,79340
17-2051,79340
17-2060,100920
17-2061,100920
17-2070,89630
17-2071,87920
17-2072,91820
17-2080,80890
17-2081,80890
17-2110,78690
17-2111,76830
17-2112,78860
17-2120,88100
17-2121,88100
17-2130,85150
17-2131,85150
17-2140,80580
17-2141,80580
17-2150,84320
17-2151,84320
17-2160,104270
17-2161,104270
17-2170,130280
17-2171,130280
17-2190,92030
17-2199,92030
17-3000,51720
17-3010,49630
17-3011,47870
17-3012,55700
17-3013,50360
17-3019,46110
17-3020,53920
17-3021,61530
17-3022,47560
17-3023,57850
17-3024,51820
17-3025,45350
17-3026,50980
17-3027,51980
17-3029,59440
17-3030,39670
17-3031,39670
19-0000,60100
19-1000,68780
19-1010,58610
19-1011,61680
19-1012,58070
19-1013,58740
19-1020,69850
19-1021,81480
19-1022,66260
19-1023,57710
19-1029,72700
19-1030,59060
19-1031,61100
19-1032,55950
19-1040,76080
19-1041,65270
19-1042,76980
19-1090,65330
19-1099,65330
19-2000,74850
19-2010,106360
19-2011,96460
19-2012,106840
19-2020,89260
19-2021,89260
19-2030,73060
19-2031,71770
19-2032,88990
19-2040,69750
19-2041,63570
19-2042,90890
19-2043,75530
19-2090,91640
19-2099,91640
19-3000,69290
19-3010,91860
19-3011,91860
19-3020,45050
19-3022,45050
19-3030,69280
19-3031,67650
19-3032,83580
19-3039,90020
19-3040,74960
19-3041,74960
19-3050,65230
19-3051,65230
19-3090,74740
19-3091,57420
19-3092,74760
19-3093,52480
19-3094,102000
19-3099,76540
19-4000,41130
19-4010,34070
19-4011,34070
19-4020,39750
19-4021,39750
19-4030,42920
19-4031,42920
19-4040,52700
19-4041,52700
19-4050,69060
19-4051,69060
19-4060,37140
19-4061,37140
19-4090,41210
19-4091,41240
19-4092,52840
19-4093,33920
19-4099,43130
21-0000,40400
21-1000,40400
21-1010,44040
21-1011,38520
21-1012,53610
21-1013,46670
21-1014,40080
21-1015,33880
21-1019,43810
21-1020,44200
21-1021,41530
21-1022,49830
21-1023,39980
21-1029,54560
21-1090,34130
21-1091,48790
21-1092,48190
21-1093,28850
21-1094,34620
21-1099,41060
21-2000,40360
21-2010,44060
21-2011,44060
21-2020,37280
21-2021,37280
21-2090,26380
21-2099,26380
23-0000,75270
23-1000,110740
23-1010,112120
23-1011,113530
23-1012,47120
23-1020,95360
23-1021,87240
23-1022,61280
23-1023,115760
23-2000,46850
23-2010,46990
23-2011,46990
23-2090,46560
23-2091,48160
23-2093,41970
23-2099,52660
25-0000,46020
25-1000,62390
25-1010,73660
25-1011,73660
25-1020,67740
25-1021,72200
25-1022,64990
25-1030,88800
25-1031,71610
25-1032,92670
25-1040,75650
25-1041,80490
25-1042,74180
25-1043,81930
25-1050,75460
25-1051,82180
25-1052,71140
25-1053,77320
25-1054,78540
25-1060,70580
25-1061,76020
25-1062,67360
25-1063,87950
25-1064,67820
25-1065,72170
25-1066,68020
25-1067,66150
25-1069,69890
25-1070,73920
25-1071,81140
25-1072,64850
25-1080,59810
25-1081,59350
25-1082,65780
25-1110,68550
25-1111,58040
25-1112,99950
25-1113,63250
25-1120,61710
25-1121,62160
25-1122,62180
25-1123,60040
25-1124,58670
25-1125,65870
25-1126,64990
25-1190,47640
25-1191,31270
25-1192,64040
25-1193,57920
25-1194,47990
25-1199,64290
25-2000,52240
25-2010,33040
25-2011,27130
25-2012,50120
25-2020,53420
25-2021,53400
25-2022,53430
25-2023,54220
25-2030,55060
25-2031,55050
25-2032,55160
25-2050,54880
25-2051,52480
25-2052,53820
25-2053,55780
25-2054,56830
25-2059,51980
25-3000,30100
25-3010,48590
25-3011,48590
25-3020,35320
25-3021,35320
25-3090,28540
25-3098,25930
25-3099,43400
25-4000,44320
25-4010,44410
25-4011,47340
25-4012,49590
25-4013,38220
25-4020,55370
25-4021,55370
25-4030,30660
25-4031,30660
25-9000,25480
25-9010,43350
25-9011,43350
25-9020,46760
25-9021,46760
25-9030,60050
25-9031,60050
25-9040,23640
25-9041,23640
25-9090,36610
25-9099,36610
27-0000,43930
27-1000,42250
27-1010,63320
27-1011,80880
27-1012,29600
27-1013,44850
27-1014,61370
27-1019,59840
27-1020,39050
27-1021,59610
27-1022,62860
27-1023,23810
27-1024,44150
27-1025,47600
27-1026,26410
27-1027,50300
27-1029,45330
27-2000,38530
27-2010,60080
27-2011,*
27-2012,71350
27-2020,28580
27-2021,40060
27-2022,28360
27-2023,23290
27-2030,33010
27-2031,*
27-2032,38120
27-2040,*
27-2041,47350
27-2042,*
27-2090,*
27-2099,*
27-3000,50930
27-3010,27750
27-3011,28020
27-3012,26230
27-3020,37090
27-3021,55380
27-3022,35870
27-3030,54170
27-3031,54170
27-3040,57460
27-3041,53880
27-3042,65500
27-3043,55940
27-3090,45350
27-3091,45430
27-3099,45160
27-4000,39450
27-4010,41210
27-4011,41850
27-4012,37880
27-4013,42080
27-4014,46310
27-4020,28490
27-4021,28490
27-4030,46280
27-4031,40300
27-4032,51300
27-4090,68810
27-4099,68810
29-0000,60200
29-1000,73410
29-1010,66160
29-1011,66160
29-1020,149310
29-1021,145240
29-1022,#
29-1023,#
29-1024,169130
29-1029,154990
29-1030,55240
29-1031,55240
29-1040,97820
29-1041,97820
29-1050,116670
29-1051,116670
29-1060,#
29-1061,#
29-1062,172020
29-1063,#
29-1064,#
29-1065,154650
29-1066,173330
29-1067,#
29-1069,#
29-1070,90930
29-1071,90930
29-1080,116440
29-1081,116440
29-1120,70000
29-1122,75400
29-1123,79860
29-1124,77560
29-1125,42280
29-1126,55870
29-1127,69870
29-1128,44770
29-1129,53210
29-1130,84460
29-1131,84460
29-1140,65470
29-1141,65470
29-1150,148160
29-1151,148160
29-1160,89600
29-1161,89600
29-1170,89960
29-1171,89960
29-1180,69720
29-1181,69720
29-1190,72710
29-1199,72710
29-2000,40380
29-2010,47820
29-2011,57580
29-2012,37240
29-2020,70210
29-2021,70210
29-2030,57850
29-2031,52070
29-2032,65860
29-2033,70180
29-2034,54620
29-2035,65360
29-2040,31020
29-2041,31020
29-2050,31330
29-2051,26260
29-2052,29320
29-2053,30050
29-2054,46760
29-2055,41790
29-2056,30290
29-2057,34240
29-2060,41540
29-2061,41540
29-2070,34160
29-2071,34160
29-2080,33330
29-2081,33330
29-2090,41950
29-2091,62670
29-2092,41430
29-2099,40700
29-9000,54130
29-9010,63200
29-9011,66790
29-9012,47440
29-9090,44490
29-9091,42090
29-9092,56800
29-9099,46180
31-0000,25550
31-1000,23030
31-1010,23030
31-1011,20820
31-1013,24580
31-1014,24420
31-1015,23990
31-2000,42120
31-2010,48940
31-2011,53240
31-2012,26850
31-2020,39430
31-2021,52160
31-2022,23880
31-9000,30620
31-9010,35970
31-9011,35970
31-9090,30430
31-9091,34500
31-9092,29370
31-9093,30820
31-9094,34020
31-9095,21860
31-9096,23130
31-9097,29730
31-9099,32800
33-0000,36620
33-1000,63850
33-1010,71540
33-1011,57840
33-1012,78270
33-1020,68210
33-1021,68210
33-1090,45820
33-1099,45820
33-2000,45590
33-2010,45250
33-2011,45250
33-2020,51880
33-2021,53990
33-2022,35780
33-3000,49770
33-3010,38970
33-3011,36840
33-3012,39040
33-3020,74300
33-3021,74300
33-3030,48070
33-3031,48070
33-3040,35690
33-3041,35690
33-3050,55260
