Abilene,TX,6143,6452,5.03
Akron,OH,31012,31485,1.53
Albany,GA,5122,5307,3.61
Albany,OR,3294,3375,2.46
Albany,NY,45330,46537,2.66
Schenectady,NY,45330,46537,2.66
Troy,NY,45330,46537,2.66
Albuquerque,NM,41301,41970,1.62
Alexandria,LA,5311,5400,1.68
Allentown,PA,33351,34338,2.96
Bethlehem,PA,33351,34338,2.96
Easton,NJ,33351,34338,2.96
Altoona,PA,4624,4770,3.16
Amarillo,TX,10970,11587,5.62
Ames,IA,4817,5078,5.42
Anchorage,AK,31732,31563,-0.53
Ann Arbor,MI,19987,20417,2.15
Anniston,AL,3802,3747,-1.45
Oxford,AL,3802,3747,-1.45
Jacksonville,AL,3802,3747,-1.45
Appleton,WI,10782,11151,3.42
Asheville,NC,15041,15790,4.98
Athens,GA,7174,7330,2.17
Clarke County,GA,7174,7330,2.17
Atlanta,GA,296300,307233,3.69
Sandy Springs,GA,296300,307233,3.69
Roswell,GA,296300,307233,3.69
Atlantic City,NJ,13458,13618,1.19
Hammonton,NJ,13458,13618,1.19
Auburn,AL,4333,4543,4.85
Opelika,AL,4333,4543,4.85
Augusta,GA,20659,20833,0.84
Richmond County,SC,20659,20833,0.84
Austin,TX,100135,103892,3.75
Round Rock,TX,100135,103892,3.75
Bakersfield,CA,38150,39702,4.07
Baltimore,MD,164436,168845,2.68
Columbia,MD,164436,168845,2.68
Towson,MD,164436,168845,2.68
Bangor,ME,5599,5681,1.46
Barnstable Town,MA,9756,10048,2.99
Baton Rouge,LA,49598,52247,5.34
Battle Creek,MI,5376,5529,2.85
Bay City,MI,3094,3229,4.36
Beaumont,TX,23842,24147,1.28
Port Arthur,TX,23842,24147,1.28
Beckley,WV,4518,4937,9.27
Bellingham,WA,9599,10119,5.42
Bend,OR,6082,6570,8.02
Redmond,OR,6082,6570,8.02
Billings,MT,8877,9274,4.47
Binghamton,NY,8727,8895,1.93
Birmingham,AL,59708,59722,0.02
Hoover,AL,59708,59722,0.02
Bismarck,ND,6299,6829,8.41
Blacksburg,VA,6114,6202,1.44
Christiansburg,VA,6114,6202,1.44
Radford,VA,6114,6202,1.44
Bloomington,IL,10691,11355,6.21
Bloomington,IN,6387,6467,1.25
Bloomsburg,PA,3607,3791,5.10
Berwick,PA,3607,3791,5.10
Boise,ID,26657,28475,6.82
Boston,MA,358837,370769,3.33
Cambridge,MA,358837,370769,3.33
Newton,NH,358837,370769,3.33
Boulder,CO,20300,21260,4.73
