Major,Job Satis,Going Well
Accounting,71.1,76.2
Aerospace Engineering,73.3,76.2
Agriculture,52.9,60.8
Horticulture,52.9,60.8
Animal Studies,51,63.3
Anthropology,68.7,82.4
Archaeology,40,60
Architecture,71.5,75
Architecture & Urban Planning Department,76.7,80
Art & Design Department,57.3,67.6
Astronomy,68.8,68.8
Athletics/Training,54.6,72.7
Automotive Engineering,56.5,56.5
Biology,78.6,86.1
Business Management,72.4,78.9
Business Administration,72.4,78.9
Chemical Engineering,75.5,81.1
Chemistry,78.1,83.3
Civil Engineering,75.7,80.5
Communications,72.9,84.9
Computer Engineering,67.1,66.5
Computer Science,68.6,76.7
Criminal Justice,67.8,81.2
Cultures/Civilization,69.2,69.2
Design Arts,61.7,72.6
Economics,79.3,85.6
Education,78.6,83.5
Electrical Engineering,74.9,77.7
Engineering Department,70.2,76.7
English,70.7,81.6
Finance,80.3,83.8
Fine Arts,58.3,71.8
Genetics,58.3,50
Geography and Geosciences,78.6,86.2
History,79,87.1
Industrial Design,73.7,84.2
Industrial Operations Engineering,73.2,77.5
Interior Design,52.8,63.9
Journalism,76.8,85.4
Kinesiology,69.1,73.8
Language,73.4,81.1
Linguistics,58.3,54.2
Math,78.5,86.1
Mechanical Engineering,82.6,89
Meteorology,80,80
Music - Composition/Theory,60,78.3
Music - Performance,64.9,72.6
Music Education,78.3,85.3
Natural Resources,61.8,73.5
Naval Engineering,90,90
Neuroscience/Cognitive Science,64.7,76.5
Nuclear Engineering,45.5,63.6
Nursing,73,79.4
Nutrition,57.1,57.1
Other,63.7,73.8
Perfomance Arts,68,77.1
Pharmacy,63.5,66.2
Philosophy,72.4,75.7
Physical Therapy,47.7,52.3
Exercise Science,47.7,52.3
Physics,72.3,77.3
Political Science,82.3,88.7
PreDental,64.7,58.8
Dentistry,64.7,58.8
PreLaw,74.2,78.2
Law,74.2,78.2
PreMed,72.7,73.4
Medical,72.7,73.4
Preparatory,50,100
PreVet,57.1,71.4
Veterinary,57.1,71.4
Psychology,72.3,83.9
Public Health,50,57.7
Public Policy,74.3,81.4
Radiological Sciences,40,33.3
Religion,82.1,92.7
School of Information,75,75
Social Work,64.2,74
Sociology,79.6,84.5
Telecommunications,69.2,74.4
Undecided,55.3,71.8
Urban Planning,72.4,79.3
Video/Media,38,50
Zoology,68.8,62.5
