Major,Unemployment Rate
Accounting,6.8
Aerospace Engineering,6.1
Agriculture,12.8
Horticulture,12.8
Animal Studies,17.2
Anthropology,6.9
Archaeology,0
Architecture,4.8
Architecture & Urban Planning Department,16
Art & Design Department,12.6
Astronomy,0
Athletics/Training,4.8
Automotive Engineering,4.4
Biology,5.7
Business Management,7.7
Business Administration,7.7
Chemical Engineering,4
Chemistry,4.3
Civil Engineering,12.5
Communications,7.2
Computer Engineering,6.6
Computer Science,4.5
Criminal Justice,5.5
Cultures/Civilization,21.4
Design Arts,7
Economics,4.5
Education,8.6
Electrical Engineering,3.7
Engineering Department,3.5
English,5.2
Finance,6.1
Fine Arts,5.6
Genetics,0
Geography and Geosciences,6.4
History,5.7
Industrial Design,21.4
Industrial Operations Engineering,10.2
Interior Design,14.3
Journalism,7.3
Kinesiology,3.7
Language,3
Linguistics,16.7
Math,6.9
Mechanical Engineering,6.9
Meteorology,0
Music - Composition/Theory,9.4
Music - Performance,7.6
Music Education,2.9
Natural Resources,12.5
Naval Engineering,11.1
Neuroscience/Cognitive Science,0
Nuclear Engineering,0
Nursing,9.2
Nutrition,12.5
Other,10.4
Perfomance Arts,8.4
Pharmacy,3.9
Philosophy,10.6
Physical Therapy,15
Exercise Science,15
Physics,6.5
Political Science,5.1
PreDental,0
Dentistry,0
PreLaw,8.8
Law,8.8
PreMed,2.2
Medical,2.2
PreVet,0
Veterinary,0
Psychology,5.6
Public Health,6.9
Public Policy,4.2
Radiological Sciences,0
Religion,2.5
School of Information,3.4
Social Work,11.8
Sociology,4.2
Telecommunications,0
Undecided,4.4
Urban Planning,4.4
Video/Media,10.8
Zoology,11.5
