job name;industry;unemp 2011;unemp 2012
Accountants and auditors;Business and financial operations occupations;4.2;4.2
Actors;Arts, design, entertainment, sports, and media occupations;35.2;28.5
Actuaries;Computer and mathematical occupations;N/A;N/A
Administrative services managers;Management occupations;7.9;5.3
Advertising and promotions managers;Management occupations;7.1;3.2
Aerospace engineers;Architecture and engineering occupations;1.9;3.7
Agents and business managers of artists, performers, and athletes;Business and financial operations occupations;6.3;11.8
Agricultural and food science technicians;Life, physical, and social science occupations;7.6;3.7
Agricultural and food scientists;Life, physical, and social science occupations;7.5;3.7
Agricultural engineers;Architecture and engineering occupations;N/A;N/A
Announcers;Arts, design, entertainment, sports, and media occupations;12.4;4.6
Appraisers and assessors of real estate;Business and financial operations occupations;6.9;1
Architects, except naval;Architecture and engineering occupations;7.3;6
Archivists, curators, and museum technicians;Education, training, and library occupations;4.4;1.8
Artists and related workers;Arts, design, entertainment, sports, and media occupations;7;6.4
Astronomers and physicists;Life, physical, and social science occupations;3.5;0.3
Athletes, coaches, umpires, and related workers;Arts, design, entertainment, sports, and media occupations;9;8.8
Atmospheric and space scientists;Life, physical, and social science occupations;4.6;0
Audiologists;Healthcare practitioner and technical occupations;N/A;0.8
Biological scientists;Life, physical, and social science occupations;2.9;3
Biological technicians;Life, physical, and social science occupations;2.8;6.3
Biomedical engineers;Architecture and engineering occupations;4.2;0.4
Broadcast and sound engineering technicians and radio operators;Arts, design, entertainment, sports, and media occupations;5.8;7.6
Budget analysts;Business and financial operations occupations;0.3;7.7
Chemical engineers;Architecture and engineering occupations;3.6;2.7
Chemical technicians;Life, physical, and social science occupations;5.1;1.5
Chemists and materials scientists;Life, physical, and social science occupations;6.1;5.5
Chief executives;Management occupations;2.8;2.1
Chiropractors;Healthcare practitioner and technical occupations;2.4;1.9
Civil engineers;Architecture and engineering occupations;4.8;3.4
Claims adjusters, appraisers, examiners, and investigators;Business and financial operations occupations;6.9;2.3
Clergy;Community and social services occupations;1.2;1.2
Clinical laboratory technologists and technicians;Healthcare practitioner and technical occupations;4.3;2.1
Compliance officers, except agriculture, construction, health and safety, and transportation;Business and financial operations occupations;2.3;2.6
Computer and information systems managers;Management occupations;2.9;3.2
Computer hardware engineers;Architecture and engineering occupations;2.3;1.9
Computer programmers;Computer and mathematical occupations;3.7;4.5
Computer scientists and systems analysts;Computer and mathematical occupations;;3.6
Computer support specialists;Computer and mathematical occupations;7.3;6.6
Conservation scientists and foresters;Life, physical, and social science occupations;4;2.1
Construction managers;Management occupations;7;4.7
Cost estimators;Business and financial operations occupations;5.8;6.8
Counselors;Community and social services occupations;4.8;7.1
Credit analysts;Business and financial operations occupations;9.8;3.1
Dancers and choreographers;Arts, design, entertainment, sports, and media occupations;10.3;10
Database administrators;Computer and mathematical occupations;1.3;3.6
Dental hygienists;Healthcare practitioner and technical occupations;2.8;2.8
Dentists;Healthcare practitioner and technical occupations;0.7;1.5
Designers;Arts, design, entertainment, sports, and media occupations;7.1;5.5
Diagnostic related technologists and technicians;Healthcare practitioner and technical occupations;4.4;4.1
Dietitians and nutritionists;Healthcare practitioner and technical occupations;4.4;2.8
Directors, religious activities and education;Community and social services occupations;3.4;0.3
Drafters;Architecture and engineering occupations;8.9;9.3
Economists;Life, physical, and social science occupations;9.5;11.3
Editors;Arts, design, entertainment, sports, and media occupations;3.8;4.4
Education administrators;Management occupations;2.5;3.1
Electrical and electronics engineers;Architecture and engineering occupations;3.4;3.4
Elementary and middle school teachers;Education, training, and library occupations;4;4.5
Emergency medical technicians and paramedics;Healthcare practitioner and technical occupations;3.1;5.5
Engineering technicians, except drafters;Architecture and engineering occupations;8.5;4.7
Engineers, all other;Architecture and engineering occupations;2.9;3.4
Entertainers and performers, sports and related workers, all other;Arts, design, entertainment, sports, and media occupations;8.2;3.3
Environmental engineers;Architecture and engineering occupations;4.1;2.7
Environmental scientists and geoscientists;Life, physical, and social science occupations;1.2;2.6
Farm, ranch, and other agricultural managers;Management occupations;2;2.1
Farmers and ranchers;Management occupations;2;2.1
Financial analysts;Business and financial operations occupations;5.7;2.3
Financial examiners;Business and financial operations occupations;9.9;2
Financial managers;Management occupations;3.7;3
Financial specialists, all other;Business and financial operations occupations;6.8;5.5
Food service managers;Management occupations;6.1;5.8
Funeral directors;Management occupations;N/A;7
Gaming managers;Management occupations;12.3;3.8
General and operations managers;Management occupations;5.7;4.1
Geological and petroleum technicians;Life, physical, and social science occupations;2.2;4.7
Health diagnosing and treating practitioner support technicians;Healthcare practitioner and technical occupations;N/A;3.4
Health diagnosing and treating practitioners, all other;Healthcare practitioner and technical occupations;N/A;3.4
Human resources managers;Management occupations;3.3;3.1
Human resources, training, and labor relations specialists;Business and financial operations occupations;6.1;5.3
Industrial engineers, including health and safety;Architecture and engineering occupations;5.5;2.7
Industrial production managers;Management occupations;5.5;4.9
Insurance underwriters;Business and financial operations occupations;2.4;1.7
Judges, magistrates, and other judicial workers;Legal occupations;2;0.4
Lawyers;Legal occupations;2.1;1.4
Legislators;Management occupations;0.5;7.4
Librarians;Education, training, and library occupations;2.3;4.7
Library technicians;Education, training, and library occupations;;2
Licensed practical and licensed vocational nurses;Healthcare practitioner and technical occupations;4.8;6.7
Loan counselors and officers;Business and financial operations occupations;8.4;7.4
Lodging managers;Management occupations;5.5;7.1
Logisticians;Business and financial operations occupations;7.9;5.8
Management analysts;Business and financial operations occupations;5.3;4.1
Managers, all other;Management occupations;3.9;3.5
Marine engineers and naval architects;Architecture and engineering occupations;3.1;8.2
Marketing and sales managers;Management occupations;6.1;5.2
Materials engineers;Architecture and engineering occupations;11.1;4.4
Mathematicians;Computer and mathematical occupations;25.4;N/A
Mechanical engineers;Architecture and engineering occupations;2.4;3.1
Media and communication equipment workers, all other;Arts, design, entertainment, sports, and media occupations;2.7;43.5
Medical and health services managers;Management occupations;3;2.9
Medical records and health information technicians;Healthcare practitioner and technical occupations;5.7;7.2
Medical scientists;Life, physical, and social science occupations;3.4;2.2
Meeting and convention planners;Business and financial operations occupations;7.8;5.6
Mining and geological engineers, including mining safety engineers;Architecture and engineering occupations;2.4;18.5
Miscellaneous community and social service specialists;Community and social services occupations;13.9;10.2
